PID,experiment,calc,return
2,1,1,50.0
3,1,0,50.0
4,1,1,50.0
6,1,1,51.0
7,1,1,50.0
12,1,1,40.0
14,1,0,20.0
16,1,1,48.0
18,1,1,20.0
22,1,1,50.0
26,1,1,29.0
28,1,1,20.0
35,1,1,50.0
36,1,1,50.0
40,1,1,50.0
41,1,1,50.0
48,1,1,50.0
49,1,1,50.0
50,1,1,50.0
51,1,1,50.0
53,1,1,50.0
54,1,1,50.0
55,1,1,40.0
56,1,1,50.0
57,1,1,52.0
60,1,1,50.0
61,1,1,0.0
63,1,0,50.0
64,1,1,8.0
65,1,1,60.0
67,1,0,50.0
69,1,1,50.0
72,1,1,50.0
73,1,1,40.0
77,1,1,50.0
80,1,1,50.0
81,1,1,50.0
82,1,0,50.0
91,1,1,0.0
92,1,0,100.0
97,1,1,50.0
101,1,1,20.0
102,1,1,50.0
103,1,1,20.0
105,1,1,0.0
106,1,1,50.0
107,1,1,50.0
108,1,1,10.0
109,1,1,62.0
117,1,1,50.0
120,1,0,50.0
122,1,1,100.0
124,1,1,50.0
125,1,0,50.0
127,1,0,50.0
130,1,1,38.0
136,1,1,50.0
137,1,1,50.0
140,1,1,50.0
141,1,1,50.0
143,1,1,50.0
144,1,1,52.0
145,1,0,50.0
147,1,1,50.0
148,1,0,51.0
150,1,0,50.0
151,1,1,50.0
153,1,0,50.0
156,1,0,50.0
157,1,0,50.0
159,1,1,50.0
168,1,1,50.0
169,1,0,100.0
177,1,0,5.0
179,1,0,50.0
184,1,1,51.0
186,1,0,50.0
191,1,1,21.0
193,1,1,50.0
194,1,1,50.0
196,1,1,0.0
197,1,0,50.0
199,1,1,100.0
200,1,0,50.0
201,1,0,40.0
202,1,0,50.0
203,1,1,20.0
204,1,1,50.0
207,1,1,50.0
208,1,1,15.0
209,1,0,50.0
211,1,1,50.0
213,1,1,80.0
220,1,1,50.0
224,1,1,100.0
225,1,1,50.0
226,1,0,50.0
230,1,1,50.0
232,1,0,30.0
234,1,1,40.0
236,1,1,20.0
238,1,1,50.0
240,1,0,50.0
245,1,1,50.0
246,1,1,50.0
247,1,0,50.0
248,1,1,50.0
253,1,1,40.0
255,1,1,50.0
256,1,1,50.0
259,1,0,50.0
261,1,1,50.0
264,1,0,40.0
266,1,1,50.0
269,1,1,50.0
271,1,1,50.0
273,1,1,50.0
276,1,1,30.0
277,1,1,50.0
280,1,0,50.0
282,1,1,50.0
285,1,1,50.0
292,1,0,66.0
295,1,1,50.0
297,1,1,50.0
298,1,1,51.0
299,1,1,50.0
302,1,1,0.0
303,1,1,50.0
304,1,1,50.0
305,1,1,50.0
306,1,0,50.0
308,1,1,0.0
310,1,1,50.0
313,1,1,50.0
316,1,0,50.0
319,1,1,50.0
320,1,1,50.0
322,1,1,40.0
323,1,1,50.0
326,1,1,50.0
328,1,0,20.0
331,1,1,50.0
332,1,0,30.0
333,1,1,50.0
334,1,1,50.0
336,1,1,100.0
337,1,1,10.0
339,1,1,50.0
342,1,1,50.0
348,1,1,15.0
354,1,1,30.0
355,1,1,50.0
356,1,1,50.0
357,1,0,50.0
361,1,1,25.0
362,1,1,30.0
367,1,1,0.0
375,1,1,50.0
378,1,1,60.0
379,1,1,50.0
380,1,1,50.0
386,1,1,45.0
387,1,1,33.0
389,1,1,50.0
390,1,1,50.0
391,1,1,50.0
393,1,0,50.0
394,1,0,50.0
395,1,0,49.0
396,1,1,50.0
397,1,1,20.0
398,1,1,50.0
399,1,1,50.0
400,1,0,50.0
404,1,1,50.0
407,1,0,50.0
409,1,1,50.0
411,1,1,50.0
414,1,1,0.0
416,1,0,50.0
420,1,0,50.0
421,1,1,50.0
422,1,1,50.0
426,1,1,50.0
427,1,1,50.0
428,1,1,50.0
430,1,0,50.0
431,1,1,38.0
437,1,1,50.0
439,1,1,50.0
440,1,1,50.0
443,1,1,50.0
445,1,1,50.0
446,1,1,0.0
455,1,0,50.0
457,1,1,50.0
459,1,1,50.0
460,1,0,0.0
461,1,0,0.0
462,1,1,50.0
466,1,1,50.0
