PID,experiment,calc,sent
9,1,0,20.0
10,1,0,20.0
11,1,0,20.0
15,1,0,0.0
19,1,0,20.0
20,1,0,0.0
29,1,0,0.0
30,1,0,0.0
31,1,0,0.0
38,1,0,0.0
42,1,0,80.0
52,1,0,0.0
62,1,0,40.0
66,1,0,50.0
68,1,0,30.0
74,1,0,20.0
76,1,0,100.0
78,1,0,100.0
83,1,0,40.0
84,1,0,0.0
86,1,0,0.0
89,1,0,50.0
93,1,0,100.0
96,1,0,0.0
98,1,0,60.0
99,1,0,0.0
104,1,0,20.0
115,1,0,10.0
116,1,0,50.0
118,1,0,100.0
128,1,0,20.0
132,1,0,10.0
138,1,0,0.0
142,1,0,40.0
146,1,0,0.0
152,1,0,40.0
158,1,0,0.0
161,1,0,50.0
162,1,0,0.0
165,1,0,10.0
166,1,0,0.0
171,1,0,0.0
172,1,0,0.0
175,1,0,50.0
181,1,0,100.0
183,1,0,0.0
187,1,0,0.0
188,1,0,60.0
189,1,0,40.0
192,1,0,40.0
195,1,0,10.0
206,1,0,0.0
212,1,0,0.0
215,1,0,0.0
216,1,0,100.0
228,1,0,0.0
235,1,0,30.0
241,1,0,50.0
242,1,0,70.0
244,1,0,0.0
252,1,0,0.0
254,1,0,30.0
257,1,0,20.0
262,1,0,50.0
263,1,0,0.0
265,1,0,0.0
274,1,0,100.0
278,1,0,40.0
286,1,0,100.0
288,1,0,0.0
291,1,0,100.0
293,1,0,0.0
294,1,0,0.0
300,1,0,50.0
301,1,0,50.0
311,1,0,40.0
314,1,0,0.0
315,1,0,50.0
327,1,0,100.0
329,1,0,0.0
335,1,0,0.0
338,1,0,100.0
340,1,0,0.0
345,1,0,0.0
349,1,0,0.0
350,1,0,0.0
351,1,0,100.0
353,1,0,50.0
368,1,0,100.0
369,1,0,100.0
371,1,0,20.0
374,1,0,30.0
376,1,0,70.0
382,1,0,50.0
384,1,0,50.0
392,1,0,100.0
401,1,0,100.0
406,1,0,50.0
410,1,0,50.0
413,1,0,0.0
415,1,0,50.0
417,1,0,0.0
425,1,0,50.0
436,1,0,0.0
441,1,0,0.0
442,1,0,40.0
447,1,0,0.0
448,1,0,0.0
450,1,0,0.0
453,1,0,0.0
469,1,0,0.0
470,1,0,50.0
471,1,0,40.0
476,1,0,100.0
480,1,0,0.0
482,1,0,0.0
483,1,0,0.0
484,1,0,20.0
486,1,0,40.0
489,1,0,100.0
490,1,0,0.0
494,1,0,50.0
497,1,0,0.0
498,1,0,0.0
508,1,0,30.0
512,1,0,0.0
519,1,0,50.0
520,1,0,80.0
527,1,0,50.0
528,1,0,100.0
532,1,0,0.0
536,1,0,20.0
542,1,0,100.0
554,1,0,0.0
560,1,0,0.0
570,1,0,0.0
571,1,0,0.0
574,1,0,0.0
577,1,0,0.0
579,1,0,40.0
581,1,0,100.0
588,1,0,10.0
590,1,0,50.0
592,1,0,50.0
595,1,0,0.0
598,1,0,0.0
600,1,0,0.0
601,1,0,0.0
602,1,0,0.0
605,1,0,50.0
609,1,0,10.0
616,1,0,50.0
618,1,0,0.0
626,1,0,0.0
629,1,0,80.0
635,1,0,100.0
638,1,0,20.0
644,1,0,50.0
652,1,0,0.0
656,1,0,0.0
662,1,0,0.0
670,1,0,0.0
673,1,0,40.0
679,1,0,30.0
682,1,0,0.0
686,1,0,0.0
688,1,0,10.0
689,1,0,0.0
692,1,0,60.0
705,1,0,0.0
709,1,0,100.0
715,1,0,40.0
716,1,0,100.0
721,1,0,100.0
722,1,0,0.0
726,1,0,100.0
727,1,0,50.0
731,1,0,40.0
733,1,0,0.0
734,1,0,0.0
740,1,0,0.0
742,1,0,0.0
746,1,0,0.0
749,1,0,0.0
750,1,0,0.0
751,1,0,80.0
756,1,0,0.0
759,1,0,0.0
761,1,0,100.0
768,1,0,20.0
769,1,0,100.0
770,1,0,50.0
776,1,0,100.0
777,1,0,50.0
778,1,0,50.0
782,1,0,0.0
783,1,0,0.0
785,1,0,20.0
787,1,0,0.0
790,1,0,0.0
794,1,0,50.0
796,1,0,20.0
801,1,0,50.0
804,1,0,40.0
819,1,0,40.0
823,1,0,20.0
834,1,0,0.0
835,1,0,0.0
836,1,0,0.0
839,1,0,0.0
846,1,0,50.0
857,1,0,10.0
865,1,0,50.0
866,1,0,50.0
867,1,0,50.0
868,1,0,70.0
876,1,0,20.0
881,1,0,0.0
887,1,0,80.0
888,1,0,10.0
889,1,0,0.0
891,1,0,0.0
894,1,0,0.0
902,1,0,0.0
904,1,0,50.0
905,1,0,50.0
906,1,0,40.0
917,1,0,0.0
922,1,0,0.0
923,1,0,30.0
929,1,0,0.0
932,1,0,90.0
937,1,0,0.0
946,1,0,100.0
949,1,0,0.0
951,1,0,0.0
958,1,0,0.0
964,1,0,30.0
967,1,0,20.0
972,1,0,100.0
975,1,0,60.0
982,1,0,0.0
995,1,0,0.0
997,1,0,0.0
998,1,0,0.0
1000,1,0,100.0
1005,1,0,80.0
1011,1,0,100.0
1014,1,0,0.0
1018,1,0,20.0
1020,1,0,100.0
1022,1,0,100.0
1029,1,0,80.0
1031,1,0,0.0
1034,1,0,100.0
1040,1,0,0.0
1047,1,0,0.0
1050,1,0,30.0
1054,1,0,0.0
1057,1,0,40.0
1058,1,0,0.0
1060,1,0,0.0
1062,1,0,10.0
1065,1,0,0.0
1071,1,0,100.0
1075,1,0,100.0
1079,1,0,80.0
1082,1,0,0.0
1084,1,0,60.0
1087,1,0,100.0
1088,1,0,0.0
